event_id,institution,event_name,event_date_or_window,status_as_of_2026_07_28,source_url,control_change,treatment_definition,candidate_controls,available_outcomes,identification_value,key_risks,next_phase_priority
E001,UK Biobank,RAP becomes default route for accessing UKB data,end of Q2 2024,implemented,https://www.find-tender.service.gov.uk/Notice/006837-2026,"shift from local or mixed access toward Research Analysis Platform by default with limited exemptions","projects or researchers first accessing after RAP-default date versus before; high-granularity access moved into controlled platform","older UKB projects; projects exempt from RAP; comparable biobanks without RAP-default change","project approvals; publications; returned data; access tier if obtainable; discontinuation if reported",high,"RAP adoption may coincide with data-product expansion and application backlog; exact project-level access mode may be private",high
E002,UK Biobank,Policy that insurance companies can no longer directly access UKB data,January 2025,implemented,https://www.ukbiobank.ac.uk/about-us/how-we-work/access-to-uk-biobank-data/,"sector-specific access exclusion after prior debate over insurer access","insurance-linked or actuarial/commercial projects before versus after January 2025","other commercial projects not in insurance; noncommercial projects; other biobanks","project applications/approvals if sector can be classified; public project register; press/regulatory outcomes",medium,"small affected group; policy may reflect public pressure rather than monitoring; sector classification imperfect",medium
E003,UK Biobank,RAP 2.0 / output checking procurement,2025 procurement notice; planned future implementation,not yet observed as implemented in Phase 1,https://www.find-tender.service.gov.uk/Notice/081712-2025,"procurement for secure environment and output checking capability","after implementation date once known; output requests under new airlock/checking regime","pre-implementation UKB RAP users; other SDEs with stable output checking","output-request approval/rejection if obtainable; publication delay; high-granularity continuation",high,"procurement notice is not a policy shock by itself; implementation date and outcomes must be verified",medium
E004,NHS England SDE,Secure Data Environment policy guidelines,set 2022-09-06 and updated 2022-12-23,implemented policy direction,https://www.gov.uk/government/publications/secure-data-environment-policy-guidelines,"move toward SDEs as default for NHS health and social care research data access","research data uses after SDE policy guidance versus before; data flows through SDE rather than extract","non-NHS TREs; projects/data products not yet in SDE; regional rollout variation","Data Release Register entries; approvals; output requests; publications if linkable",high,"implementation staggered and not a single clean treatment date; COVID-era demand confounds",high
E005,NHS Research SDE Network,Registration Service requirement for users and organizations,2026-04-01,implemented,https://digital.nhs.uk/data-and-information/research-powered-by-data/registration-service,"organization and researcher registration before SDE Network access","applications after April 1 2026 versus earlier; registered organizations/users versus not","existing users grandfathered during transition; non-network SDEs","organization register; individual checks; project applications via Data Release Register",medium,"registration is not project approval; early post-period short as of July 28 2026",medium
E006,NIH controlled-access repositories,Updated security best practices for users,2025-01-25,implemented,https://grants.nih.gov/policy-and-compliance/policy-topics/sharing-policies/accessing-data/requirements,"security standard for users of controlled-access data repositories","new and renewed data access agreements from Jan 25 2025","existing agreements not renewed; unrestricted datasets; non-NIH repositories","access approvals/renewals if obtainable; repository metadata; incident reports if any",medium,"public request-level data likely unavailable; may be compliance rather than monitoring shock",medium
E007,NIH CADRs,Enhanced controlled-access repository and user standards,2026-02-25,implemented policy standard,https://grants.nih.gov/policy-and-compliance/policy-topics/sharing-policies/accessing-data/requirements,"CADR security and operational controls; standard access process required by Nov 1 2025 for repositories that support Data Management and Sharing Policy compliance","repositories/users subject to CADR standard after effective dates","controlled repositories outside CADR list; pre-standard access requests","repository lists; request workflows; DAC policies; publication links",medium,"distributed repositories and DACs; difficult to observe user-level outcomes",medium
E008,CMS / ResDAC,Updated DMP SAQ extension form and data disposition requirements,2026-08-11,future as of 2026-07-28,https://resdac.umn.edu/cms-news/research-data-request-access-policy-changes-update,"new data management plan self-assessment; extension form asks for publicly disseminated findings; media disposition certificate; secure download instructions","CMS research DUAs and renewals on or after Aug 11 2026","DUAs before Aug 11 2026; non-CMS health-data environments","DUA extensions; disseminated findings; renewal/disposition timing; data access delays",high,"event is in the future as of checkpoint; project-level DUAs not public",medium
E009,CMS / ResDAC,Delay of mandatory transition of all research studies into CCW VRDC,announced 2026-02-11,implemented delay,https://resdac.umn.edu/cms-news/research-data-request-access-policy-changes-update,"planned universal VRDC transition delayed indefinitely","studies that would have moved to VRDC versus those already in VRDC","RIF/LDS users continuing outside VRDC; VRDC-only studies","output review frequency; access fees; publication delay; data security requirements",medium,"counterfactual transition schedule unclear; delay not restriction increase",low
E010,OpenSAFELY,Expansion beyond COVID under Pilot Directions,2025 pilot period,implemented pilot,https://www.opensafely.org/research/,"OpenSAFELY began accepting approved non-COVID research under Pilot Directions","non-COVID projects accepted under pilot versus earlier COVID-only period","COVID projects; other NHS SDE projects","project counts; completed papers; public code; output-release records",high,"policy and access windows changed over time; submissions also affected by capacity and funding",high
