source_id,institution_or_ecosystem,source_name,source_url,source_type,official_or_secondary,fields_observed,time_coverage,access_method,legal_ethics_restrictions,phase_1_use,limitations,priority
S001,UK Biobank,Access to UK Biobank data,https://www.ukbiobank.ac.uk/about-us/how-we-work/access-to-uk-biobank-data/,policy page,official,"access controls; insurance-company policy; MTA obligations; RAP by default; annual reports; publication reporting; project discontinuation notes","current page; notes Jan 2025 insurance policy and 2024 RAP default",public web,"approved researchers only; legal agreements; no re-identification; no unauthorized sharing",primary candidate for monitoring/granularity policy event,"project list may lag current status; no incident microdata",high
S002,UK Biobank,Apply for access and application requirements,https://www.ukbiobank.ac.uk/use-our-data/apply-for-access/,application guidance,official,"application summary; public-interest requirement; requested data tier; derived variables; applications paused; researcher and publication counts","page last updated 2026-07-01",public web,"eligible researchers; applications paused while RAP changes are made",risk-feature and denominator source,"application text and decisions not publicly downloadable in full",high
S003,UK Biobank,Existing projects register,https://www.ukbiobank.ac.uk/projects/,project register,official,"project title; institution; date; lay summary; publication links when available","active historical list; update note 2026-04-23 says list not fully current",public web,"only approved projects shown; participant confidentiality constraints",project-level public denominator and research-output link,"current project status incomplete; no approvals/rejections",high
S004,UK Biobank,UK Biobank Showcase application schema 27,https://biobank.ndph.ox.ac.uk/ukb/schema.cgi?id=27,downloadable schema,official,"app_id; title; principal investigator; institution; notes",approved applications; current schema,public download,"approved projects only",structured project catalogue probe,"does not include access tier or enforcement outcomes",medium
S005,UK Biobank,Returned data instructions,https://biobank.ndph.ox.ac.uk/ukb/ukb/docs/ukblink_instruct.html,technical guidance,official,"returned datasets; project completion; bridging; approved baskets; validated researcher requirements",current documentation,public web but access requires approval,"validated researchers; approved applications; credentials",research-value outcome and data-feedback mechanism,"returned-data metadata may not be publicly complete",medium
S006,UK Biobank,Find a Tender RAP extension notice,https://www.find-tender.service.gov.uk/Notice/006837-2026,procurement notice,official,"RAP procured in 2020; RAP by default at end of Q2 2024; limited exemptions; platform value",published 2026,public web,procurement disclosure,precise policy-timing source for RAP default,"procurement language not project-level outcomes",high
S007,UK Biobank,Find a Tender output checking / RAP 2.0 notice,https://www.find-tender.service.gov.uk/Notice/081712-2025,procurement notice,official,"airlock/output checking procurement; RAP 2.0; secure data environment strategy",published 2025; edited 2025-12-10,public web,procurement disclosure,candidate future treatment event for output controls,"market engagement not implemented policy by itself",medium
S008,NIH dbGaP/CADR,NIH requirements for controlled-access data repositories and users,https://grants.nih.gov/policy-and-compliance/policy-topics/sharing-policies/accessing-data/requirements,policy page,official,"security best practices; Jan 25 2025 user standards; Feb 25 2026 repository/user standards; CADR list and guidebook",updated 2026-07-17,public web,"NIH controlled-access data terms; security standards",candidate policy event and cross-repository governance source,"public page is policy level; access decisions may be distributed",high
S009,NIH dbGaP,How to request and access datasets from dbGaP,https://www.grants.nih.gov/policy-and-compliance/policy-topics/sharing-policies/accessing-data/dbgap,access guidance,official,"SO review; DAC review; approval statuses; approval expiration; revisions requested",updated 2026,public web; controlled access via dbGaP,"DAC approval; GDS policy; data use certification",stage-gate status taxonomy and potential continuation statuses,"project-level request data not public",high
S010,NIH Genomic Data Sharing,Genomic Data User Code of Conduct,https://grants.nih.gov/policy-and-compliance/policy-topics/sharing-policies/accessing-data/user-code-of-conduct,policy page,official,"use limitations; no re-identification; no redistribution; breach reporting; revocation of approved access",updated 2025-08-05,public web,"controlled-access genomic data terms",sanction and incident taxonomy input,"enforcement events not listed",medium
S011,All of Us,Research Projects Directory,https://www.researchallofus.org/research-project-directory/,project directory,official,"active projects; researcher; institution; project purpose; project focus; dataset used; Registered versus Controlled Tier",current public directory; search result noted 18842 active projects as of 2025-06-22,public web,"project descriptions supplied by researchers; review requests possible",excellent project-level denominator and risk-tier source,"no rejected applications; project text may be strategic",high
S012,All of Us,Data Access Tiers and Data Access Framework,https://www.researchallofus.org/data-tools/data-access/,policy page,official,"Public/Registered/Controlled tiers; genomic data; dates; demographic specificity; data passport; public project descriptions",current public documentation,public web; Workbench controlled access,"identity verification; DURA; user-based data passport; DUCC",granularity and transparency taxonomy source,"tier assignment may be user-based not project-based",high
S013,All of Us,Data User Code of Conduct,https://support.researchallofus.org/hc/en-us/articles/22346176432532-Data-User-Code-of-Conduct,policy page,official,"workspace audits; Resource Access Board; revocation; sanctions; public violator list option; NIH notification",updated 2026,public web,"authorized data users only; DUCC sanctions",post-access review and sanction source,"actual violation list not obviously populated",medium
S014,NHS England SDE,Secure Data Environment service,https://digital.nhs.uk/services/secure-data-environment-service,service page,official,"approved researchers and projects; de-identified/minimized data; Five Safes; Safe Output Service; data release register; charges",last edited 2026-07-07,public web; access through DARS,"DARS approvals; SDE guidelines; patient confidentiality",institutional SDE policy and denominator candidate,"public project-level SDE data may be fragmented",high
S015,NHS England SDE,Output your results from SDE,https://digital.nhs.uk/services/secure-data-environment-service/output-your-results-from-the-sde,service guidance,official,"output request workflow; approval/rejection; target three working days; disclosure control",last edited 2026-07-15,public web; users access in VDI,"outputs checked before download or sharing",Stage 2 output-airlock outcome source,"aggregate rejection rates not public",high
S016,NHS Research SDE Network,Registration Service,https://digital.nhs.uk/data-and-information/research-powered-by-data/registration-service,registration policy,official,"from Apr 1 2026 registration; organization and individual checks; organization register promised; not project validity",published 2026,public web,"registration distinct from data access request",candidate policy event and denominator source,"organization registration is not project approval",medium
S017,OpenSAFELY,OpenSAFELY research page,https://www.opensafely.org/research/,project/output catalogue,official,"completed papers; links to published research; source code; outputs; >95 completed papers",current public web,public web; platform access requires approval,"NHS England approvals; COVID and pilot directions",research-value outcome source with code transparency,"platform access closed/intermittent for submissions; not all usage data public",high
S018,OpenSAFELY,OpenSAFELY data access policy,https://docs.opensafely.org/data-access-policy/,policy documentation,official,"approved projects; code in GitHub; logging; manual output checking; access revoked when project finishes",current public docs,public web,"approved users; project-specific purposes; opt-outs handled",strong mapping to monitoring/logging/adaptive output release,"raw patient data never visible; project applications not fully public",high
