pilot_source,sample_file,sample_rows,unit_observation,source_url,access_result,treatment_assignable,outcomes_observable,denominator_constructible,main_limitation
All of Us projects,allofus_projects_sample.csv,25,workspace snapshot,https://stable.researchallofus.org/wp-json/research-hub/projects-directory,stable endpoint returned JSON while current www endpoint returned 500 in shell probe,partial access_tier exists but many sample rows use missing_or_false,project purpose category review URL and text completeness are observable but project dates are absent,yes for public workspaces if endpoint remains accessible,sample includes test tutorial operational workspaces and needs production endpoint validation
All of Us institutional agreements,allofus_institutional_agreements_sample.csv,25,institution agreement,https://www.researchallofus.org/institutional-agreements/,HTML table parsed with 1457 institution rows,yes institution-level Registered and Controlled Tier eligibility is observable,institution access eligibility is observable but no project outcome is present,yes for institutions with DURA agreements,no agreement date or project timing field observed
All of Us publications,allofus_publications_sample.csv,25,publication,https://www.researchallofus.org/publication-directory/,publication JSON endpoint returned 1463 records,not directly no accessTier field observed in JSON,yes publication date PubMed DOI institution citation RCR focus flags and RAB review flag are observable,yes for public All of Us publications,project-to-publication key is not directly observed and one future publication date appears as of 2026-07-31
UK Biobank applications,ukb_applications_sample.csv,20,approved application,https://biobank.ndph.ox.ac.uk/ukb/scdown.cgi?fmt=txt&id=27,Showcase schema download accessible with 7070 parsed application rows,partial risk proxies can be text-coded but RAP mode is absent,project text and institution observable yes but no direct approval date in schema 27,yes for approved applications,application TSV needs robust parsing because notes can contain irregular delimiters
UK Biobank publications,ukb_publications_sample.csv,25,publication,https://biobank.ndph.ox.ac.uk/ukb/scdown.cgi?fmt=txt&id=19,Showcase publication schema download accessible with 14411 publication rows,no direct RAP treatment but output dates are observable,yes publication date PubMed DOI URL citation fields and citation update date are observable,yes for Showcase publications,citation fields use -1 or legacy update dates for some current publications
UK Biobank application-publication links,ukb_app_publication_links_sample.csv,25,application-publication link,https://biobank.ndph.ox.ac.uk/ukb/scdown.cgi?fmt=txt&id=24,official link table downloaded with 12402 rows,indirect can link treated applications to outputs if treatment timing is assigned,yes app_id to pub_id output linkage is directly observable,yes for linked application-publication pairs,unlinked applications may have no publication or incomplete matching
UK Biobank application-publication joined pilot,ukb_application_publication_join_sample.csv,25,joined application publication pair,https://biobank.ndph.ox.ac.uk/ukb/schema.cgi?id=24,application schema 27 merged to publication schema 19 through link schema 24,indirect but strong once RAP exposure or start-date policy exposure is assigned,yes application title institution publication title date and citations are linked,yes for official link table sample,join confirms research-value outcome linkage but not monitoring or leakage outcome
UK Biobank returned datasets,ukb_returned_datasets_sample.csv,25,returned dataset,https://biobank.ndph.ox.ac.uk/ukb/scdown.cgi?fmt=txt&id=4,Showcase returned datasets schema download accessible with 591 rows,indirect can measure returned-data contribution by application_id,yes archive_id application_id availability personal flag note length and publication mentions are observable,yes for returned datasets listed by UKB,returned data are selected positive outputs not rejected or failed projects
UK Biobank data fields,ukb_data_fields_sample.csv,25,data field,https://biobank.ndph.ox.ac.uk/ukb/scdown.cgi?fmt=txt&id=1,Showcase data field schema download accessible with 11821 rows,partial field privacy availability and cost flags can proxy data sensitivity or access burden,yes field debut version participants item count privacy and availability are observable,yes for data fields listed in Showcase,field-to-application demand is not directly observed in this schema alone
UK Biobank schema inventory,ukb_schema_inventory_sample.csv,7,Showcase schema,https://biobank.ndph.ox.ac.uk/ukb/schema.cgi,Showcase schema index accessible and lists key schemas,not treatment by itself but identifies joinable data structures,yes identifies application publication returned dataset and field schemas,yes for schema-level inventory,requires schema-specific parsers before full data construction
OpenSAFELY,opensafely_jobs_sample.csv,10,job request,https://jobs.opensafely.org/,HTML table parsed cleanly,partial job status and event timing observable while policy treatment needs external date,yes status and started time project and organization are observable,yes for visible job requests and pages if paginated access exists,user field is public but omitted from sample and output-airlock approval needs deeper page sampling
UKSA/ONS,uksa_accredited_projects_sample.csv,20,accredited project,https://uksa.statisticsauthority.gov.uk/wp-content/uploads/2026/06/01-06-2026-UKSA-Accredited-Research-Projects-Report-1.xlsx,XLSX downloadable and parseable,partial secure-processing environment and legal gateway observable while policy shock weak,partial accreditation date and protected data observable but no output or sanction outcome,yes for accredited projects,approved or accredited projects only and no rejected projects or output-check outcomes
GitHub DMCA,github_dmca_2026_07_sample.csv,25,notice file,https://api.github.com/repos/github/dmca/contents/2026/07,GitHub contents API returned month listing,yes for takedown process date but not valid for privacy monitoring treatment without filtering,yes notice date path size and raw notice URL observable,partial notice files by month but repository denominator requires GH Archive or API,DMCA is copyright takedown process data and not privacy leakage or controlled-access project misuse
