app_id,title,pi_present,institution,note_chars,mentions_full_cohort,mentions_genetic_or_genome,mentions_linkage_or_hes,mentions_samples,notes_excerpt
132,Prevalence of stroke and identification of associated risk factors,True,Western Infirmary,628,False,False,False,False,Stroke is the second biggest cause of death worldwide. We aim to identify the number of people who had already suffered from a stroke when they were invited to UK Biobank and to classify common risk factors for stroke. We will then compare
166,"Population burden of diease of hearing disability, visual impairement and dual-sensory impairment amoung UK adults aged 40 - 69 years",True,University of Manchester,1375,True,False,False,False,"The project aims are: i. To report prevalence of hearing disability, visual impairment, and dual sensory impairment within the UK Biobank population. This is the first population-based study to report the prevalence of hearing disability ba"
178,Occupational risk factors for Chronic Obstructive Pulmonary Disease,True,Imperial College London,1337,True,False,False,False,"Chronic obstructive pulmonary disease (COPD) is a progressive lung disease often referred to by patients as emphysema or chronic bronchitis. The main cause of COPD is cigarette smoking, but about one in six cases are believed to be due to b"
236,Genome-wide association study of blood pressure.,True,Imperial College London,1992,True,True,True,False,High blood pressure (BP) is the leading risk factor for global disease burden. The role of several dietary/lifestyle risk factors in high BP is well-established. BP is a heritable trait; several genetic variants have reliably been associate
262,Associations between moderate to vigorous physical exercise and sedentary behaviour and arterial stiffness and blood pressure in UK adults,True,University of Cambridge,1115,True,False,True,True,Physical activity (e.g. exercise or cycling to work) and sedentary behaviours (e.g. TV viewing) are both implicated in the development of heart disease and premature mortality. Intermediate heart disease markers include blood pressure and t
270,Development of BMI specific cut offs for fat free mass index,True,CIRO+,1008,False,False,False,False,"An abnormal low fat-free mass index (FFMI) occurs frequently in patients with chronic organ failure, such as chronic obstructive pulmonary disease (COPD), and is a strong determinant of morbidity and mortality. Moreover, FFMI provides infor"
289,Development of normative values for hand grip strength,True,CIRO+,1157,True,False,True,False,"Distal weakness generally predominates in patients with polyneuropathy and may contribute to deficits in daily activities and social participation. Therefore, reliable assessment of hand grip strength is important to capture clinical change"
291,Multimorbidity in participants with and without COPD,True,CIRO+,1037,True,False,True,False,"Co-morbidities occur frequently in patients with chronic obstructive pulmonary disease (COPD). Moreover, recent studies identified clusters of multi-morbidity in patients with COPD. Whether and to what extent multi-morbidity is COPD-specifi"
338,Using the Vascular Assessment and Measurement Platform for Images of the Retina (VAMPIRE) to derive retinal outcomes,True,University of Edinburgh,1334,False,False,False,False,"The retina is one of the few places in the human body allowing easy, non-invasive observation of blood vessels, and there is mounting evidence that features associated with retinal vessels are early indicators of disease such as diabetes, h"
408,Derivation of fitness indicators and their relation with hemodynamic factors,True,University of Cambridge,1119,False,False,True,False,"Few large-scale epidemiological studies have included measures of cardio-respiratory fitness, but those that have indicate that it is strongly related to metabolic disease, cardiovascular outcomes, some cancers, and all-cause mortality. Som"
412,Lung function and its association with fatal and non-fatal outcomes,True,"City St George's, University of London",865,False,False,False,False,The focus of this proposal is to investigate: i. The quality of the spirogram data and provision of recommended algorithms and derived variables that will be of use to other researchers; ii. The cross-sectional determinants of respiratory h
431,"Association between shift work and cancer, vascular disease and other diseases",True,University of Oxford,1276,False,False,True,False,"Shift work and disease in UK Biobank Shift work, and in particular night work, has been linked in several studies to an increased risk of several common diseases including certain cancers, cardiovascular disease and type 2 diabetes. However"
522,Retinal vessel morphology as a predictor of cardiovascular risk and disease outcome in later life,True,"City St George's, University of London",1991,False,False,True,True,This is an application for use of the UK Biobank data by the population Health research Centre at St George?s University of London in collaboration with Kingston University. The focus of this proposal is to quantify the shape and size of re
648,Common and rare genetic variants in respiratory health: the UK Biobank Lung Exome Variant Evaluation (UK BiLEVE) consortium,True,University of Leicester,1489,False,True,True,True,"Lung function is an important indicator of respiratory health and mortality. Measures of lung function show irreversible airway obstruction in chronic obstructive pulmonary disease (COPD), a progressive condition affecting 900,000 people in"
669,"Distribution and biological, environmental and lifestyle determinants of visual function and of refractive error in adults (aged 40 to 69 years) in the UK.",True,University College London,1312,False,True,True,False,"There are major gaps in our epidemiological knowledge about the visual health of adults in the UK. This project will conduct a cross-sectional and longitudinal (life course) analysis to investigate the biological, social and lifestyle facto"
676,Machine learning detection of novel disease correlates,True,University of Kent,1508,True,False,True,False,"Modern techniques in computer science are now enabling large datasets to be analysed in ways never before possible. These analyses have successfully enabled the elucidation of novel correlations hidden within the data, correlations that can"
742,"Understanding the Risk Factors Underlying Sudden Cardiac Death: An Investigation Utilising Bio, Genomic and Clinical Markers by the UK Biobank Cardio-Metabolic Consortium",True,"City St George's, University of London",2415,False,True,True,True,This proposal will identify sudden deaths amongst the UK Biobank participants and then clarify the roles and importance of underlying causes such as coronary artery disease and high blood pressure. It will determine the clinical and genetic
761,Risk of type 2 Diabetes and development of disease,True,University of Exeter,1235,True,True,True,False,Type 2 diabetes is a significant health burden worldwide and research is underway to determine how this burden can be reduced. Approximately fifty percent of diabetic patients die prematurely of stroke and heart disease. It is a complex dis
774,Cross-sectional study to investigate ethnic differences in cardiovascular risk and mental health,True,University of Glasgow,1284,False,False,True,False,One advantage of UK Biobank is the recruitment of participants from ethnic minority groups in sufficient numbers to enable meaningful comparisons of different ethnic groups. Ethnic groups are known to differ in their risk of a number of con
788,Heritability of disease frequency,True,University of Edinburgh,1305,False,True,True,False,Genes and environmental exposures determine susceptibility to common diseases such as diabetes or cancer. The relative contribution of genes to disease risk is known as the heritability. Heritability is often estimated using twin pairs. How
