institution_id,name,ecosystem,geography,data_domain,granularity_model,controls,monitoring_or_logs,post_access_actions,incident_outcomes_available,research_value_outcomes_available,denominators_available,potential_policy_events,comparison_potential,overall_assessment,next_steps
I001,UK Biobank,controlled-access biobank,United Kingdom,genomic clinical imaging biomarker health data,"data tiers; RAP platform by default; limited exemptions; formerly some downloads","eligibility review; Access Committee; MTA; no re-identification; no unauthorized sharing; annual reporting; data tier requests","RAP cloud environment; output-checking procurement planned; annual reports; publication reporting","project discontinuation or update after material organization change; higher-tier request; completion and returned data","not systematic public incident register; policy violations likely confidential","publications; returned datasets; derived variables; peer-reviewed paper counts; project register","existing projects; over 22000 researchers; over 18000 papers; application schema","Q2 2024 RAP by default; Jan 2025 no direct insurance-company access; 2025 RAP2/output-checking procurement; 2026 application pause",strong before/after within UKB if data by project/tier/status can be obtained; cross-institution comparator to All of Us or OpenSAFELY,high priority but project-status gaps must be resolved,"In Phase 2 seek downloadable project register history; RAP exemption policy; output-checking implementation dates; aggregate applications/approvals/withdrawals by year"
I002,NIH dbGaP and CADRs,controlled-access genomic repositories,United States,genomic and phenotype data,"controlled versus unrestricted access; dataset-specific DACs; DUC terms","Signing Official review; DAC review; Data Use Certification; security best practices; incident reporting","access request statuses; repository/user security standards; possible logs at CADRs; DAC review statuses","approval expiration; renewal; revision requested; revocation possible under code of conduct","data management incidents are defined but public incident list not obvious","citations/publications by accession may be recoverable through PubMed and dbGaP metadata","study metadata; DACs; some accession/publication links; not request denominator publicly",Jan 25 2025 updated user security standards; Feb 25 2026 CADR security/operational standards; Nov 1 2025 standard access process requirements,good policy event across repositories but access-decision microdata likely unavailable; useful calibration and institutional comparison,medium-high,"In Phase 2 inventory CADR list and test whether dbGaP metadata exposes study release dates and publications at scale"
I003,All of Us Research Program,cloud workbench with tiered access,United States,EHR survey wearable genomic and participant data,"Public tier; Registered tier; Controlled tier with genomics and finer demographics/dates","identity verification; DURA; Responsible Conduct training; Data User Code of Conduct; data passport; workspace descriptions public","access logged and may be audited; Resource Access Board; workspace audits","account termination; sanctions; public violator posting option; NIH notification; project review request by public","violations not obviously public; review requests may not be transparent","public project directory; publications linked to workspaces; research highlights","active project directory; dataset tier field; researcher/institution/project purpose fields",Controlled Tier expansion and Workbench migration; June 2026 migration completion; account management policy update,very promising project-level denominator and tier comparison; less clear policy shock,high,"In Phase 2 assess project directory exportability/API; collect counts by tier/time; link publications"
I004,NHS England Secure Data Environment,SDE/TRE network,United Kingdom,NHS health and social care data,"SDE access instead of data extracts; pseudonymized/minimized patient-level data; outputs aggregate","DARS application; Five Safes; Advisory Group for Data; Safe Output Service; Data Release Register; charges","safe output workflow; VDI tools; output/import tool; three-working-day target; third-party audits","output approved/rejected; access limited to permitted data; penalties for bypass; registration status","output rejection and penalties not aggregate public; Data Release Register may show flows","research outputs possibly via project-specific reports; Data Release Register; publications external",Data Release Register; registered organizations promised; platform data products,2022 SDE default policy guidelines; Apr 1 2026 SDE Network registration service; 2026 output-service guidance,excellent governance setting but public project-level outcome data may be fragmented,high,"In Phase 2 inspect Data Release Register structure and regional SDE registers; seek output metrics or annual reports"
I005,OpenSAFELY,NHS secure analytics platform / SDE,United Kingdom,primary care EHR and linked NHS data,"code runs against pseudonymized data in situ; researchers see aggregate outputs; no raw patient data","approved projects; GitHub code; open logs; Airlock; manual output checking by two checkers; small-number suppression","public logs where possible; job server; output requests tracked; output check audit trail","release approved; approved subject to change; rejected; access revoked when project finishes","output-check issues may contain rejection/modification traces; no raw leakage incidents","over 95 completed papers; research page links papers and source code; over 200 projects claimed on homepage","projects; papers; code repositories; public logs and output releases",2025 Pilot Directions allowed non-COVID research; Jan 2026 Optum access temporarily closed; 2026 annual licence fee/new submissions window,very strong for mechanism illustration and possibly event-history of output release; not classic seller-buyer market,high,"In Phase 2 test public job server/GitHub issue data fields manually; map projects to publications and output-check events"
I006,ONS Secure Research Service and UKSA RAP,government statistical TRE,United Kingdom,administrative statistical microdata,"secure setting access to de-identified unpublished data; approved safe settings; metadata catalogue restrictions","accredited researchers; accredited projects; accredited processors; Five Safes; output checking; public benefit and ethics criteria","SRS management information; quarterly project counts; accredited processing environments; output checking","accreditation can be withdrawn; project accreditation duration; output release checks","suspensions/removals not clearly public; incidents likely confidential","project transparency; outputs expected open and accessible; publications may be external","868 current projects and 254 started in last 12 months as of July 2026; public accredited project register",Research Accreditation Panel assumed expanded oversight 2021; data capability accreditation revised 2022; IDS replacing SRS in progress,very promising denominator and processing-environment comparison; direct leakage outcomes weak,high,"In Phase 2 download project register and processing environment list; code projects by protected data and environment"
I007,CMS / ResDAC / CCW VRDC,health claims controlled access,United States,Medicare Medicaid and CMS administrative data,"LDS versus RIF; secure download/encrypted media/VRDC; aggregate-only VRDC outputs","DUA; IRB/HIPAA waiver; data management plan; CMS cell suppression; output review","VRDC output review; DMP SAQ; extension reporting; media disposition certificates","DUA amendment; extension; closure; output review limits; destruction requirements","HIPAA breaches separate; CMS data-use incidents not public","extension form will collect publicly disseminated findings; publications can be externally linked","no project register; data request processing timelines; output review limits",Feb 11 2026 policy update; Aug 11 2026 DMP SAQ/extension/media rules; 2026 monthly VRDC updates,good policy shock but public project data weak; valuable for welfare trade-off via access friction,medium-high,"In Phase 2 inspect RIF/LDS DUA forms and whether extension findings become public; track professional responses"
I008,Statistics Canada RDC and vRDC,statistical secure labs,Canada,social business administrative linked microdata,"RDC physical secure labs; vRDC/remote access; RTRA aggregate remote outputs","deemed employee; security clearance; mandatory training; oath of secrecy; peer review; agreements","output vetting by Statistics Canada employees; VDL monitoring controls and vetting tools","agreement start/end; add/remove co-investigators; final product obligation; linkage approvals","incidents not public","final product required; RDC research outcomes at some local RDCs; publications and theses","user counts and KPI baselines in evaluation; program-level access stats possible",2020 Virtual Data Lab pilot/evaluation; continuing vRDC modernization,good comparative TRE setting; Canada-specific legal structure; project data may be dispersed,medium,"In Phase 2 search CRDCN project/publication data and current vRDC statistics"
I009,CASD,secure data access center,France,administrative statistical health business and linked confidential data,"secure bubble; SD-Box; centralized project server; no file retrieval except checked outputs","GDPR certification; ISO 27001/27701; HDS; CNIL; producer approvals; statistical secrecy committee","SD-Box authentication; resource logs implied; output checks; secure download link; copies retained for ex post checks","project prolongation; add sources; add researchers; output release; on-site SD-Box visits","incidents not public","400+ publications and communications; hosted project list; data sources","580 data sources; 2075 projects; 1236 institutions; 8295 users",June 2026 SD-Box site visits; 2026 France-Germany pilot for joint secure environment,strong institution-level denominators and controls; weaker incident outcomes,high,"In Phase 2 query CDAP hosted projects manually and assess whether project dates/users/publications are exportable"
I010,EGA,controlled-access genomic archive,Europe/international,human genomic phenotypic clinical data,"public metadata; controlled file access; DAC-specific DAAs; download after approval","Data Access Committees; DAC Portal; policy objects; DUO terms; encryption; identity assurance","access-right changes; request logs; resource-usage logs; DAC request history","grant; deny; active permission; revoke; expiration; account on hold for suspected misuse","not public except possibly DAC decisions; EGA can place accounts on hold","publication links by dataset/study may be recoverable; public metadata","studies; datasets; DACs; samples; public metadata",DAC Portal and API maturation; evolving GA4GH security practices,excellent conceptual match to theory but distributed DACs limit public decision data,medium,"In Phase 2 sample EGA API metadata for requestable fields; identify a subset with rich publication links"
